account_id;reputation;creation_date;presence;presence_factor;activity;activity_factor;frequency_factor;creation_date_int;regularity_factor
364;302;2008-08-04 12:52:03;284803677.0;0.9985753550015778;2035;0.015613131909865812;0.6173515800500006;1217854323;0.09223300970873786
381;296;2008-08-06 12:40:05;284631595.0;0.9979720030854458;244;0.001872041369045336;0.07406626801216498;1218026405;0.03126897389192471
322;292;2008-08-05 17:31:58;284700482.0;0.9982135338873112;328;0.002516514627241271;0.0995404004971091;1217957518;0.052200303490136574
353;251;2008-08-05 23:07:44;284680336.0;0.99814289821535;3;2.3016902078426254e-05;0.0009104949208715279;1217977664;0.0006071645415907711
390;160;2008-08-06 14:06:45;284626395.0;0.9979537709056484;51;0.0003912873353332464;0.015481347047943322;1218031605;0.010018214936247723
395;129;2008-08-06 16:03:28;284619392.0;0.9979292170681252;29;0.00022249672009145386;0.0088033355084955;1218038608;0.00546448087431694
360;64;2008-08-06 00:14:46;284676314.0;0.9981287963255144;21;0.0001611183145489838;0.0063735544924893184;1217981686;0.004250151791135397
352;55;2008-08-05 22:55:42;284681058.0;0.9981454296833911;9;6.905070623527878e-05;0.002731477835100641;1217976942;0.0024286581663630845
394;1;2008-08-06 15:34:59;284621101.0;0.9979352091441394;268;0.0020561765856727462;0.08135447413647663;1218036899;0.03460837887067395
455;130139;2008-08-07 02:43:52;284580968.0;0.9977944952841764;1;7.672300692808752e-06;0.00030360428038181387;1218077032;0.0
445;62902;2008-08-07 00:56:54;284587386.0;0.9978169980014726;441;0.00338348460552866;0.13388646817958405;1218070614;0.055876100819921046
462;41843;2008-08-07 06:49:41;284566219.0;0.997742782511132;90;0.0006905070623527878;0.027325801450803967;1218091781;0.012146978439113271
420;38267;2008-08-06 19:30:22;284606978.0;0.9978856912450476;70;0.0005370610484966127;0.02125035739636714;1218051022;0.012446873102610808
446;34264;2008-08-07 01:00:42;284587158.0;0.9978161985905124;50;0.0003836150346404377;0.015179883837203924;1218070842;0.007591861524445794
400;31584;2008-08-06 17:04:33;284615727.0;0.9979163668875566;7;5.3706104849661265e-05;0.0021249704166909924;1218042273;0.0018214936247723133
417;16709;2008-08-06 19:17:04;284607776.0;0.9978884891834088;131;0.0010050713907579466;0.0397684144793008;1218050224;0.023679417122040074
444;15738;2008-08-07 00:19:59;284589601.0;0.9978247642088286;32;0.00024551362216988006;0.009715042258343094;1218068399;0.0072881870634679624
402;13840;2008-08-06 17:19:18;284614842.0;0.9979132639108026;33;0.00025318592286268884;0.010017748828432496;1218043158;0.004553734061930784
425;13729;2008-08-06 19:41:31;284606309.0;0.9978833456049928;391;0.0029998695708882217;0.11869870389977898;1218051691;0.0440194292653309
453;13605;2008-08-07 02:30:28;284581772.0;0.9977973142596684;5;3.836150346404377e-05;0.001518017113197257;1218076228;0.0006073489219556636
429;11234;2008-08-06 20:20:06;284603994.0;0.9978752287787944;187;0.0014347202295552368;0.05676940710817994;1218054006;0.021250758955676987
459;8869;2008-08-07 04:22:53;284575027.0;0.997773665018758;1592;0.012214302702951534;0.4833481048918604;1218082973;0.13058001822046766
396;7179;2008-08-06 16:11:33;284618907.0;0.9979275165667404;775;0.005946033036926784;0.23526195327564803;1218039093;0.05707346690953248
424;7026;2008-08-06 19:38:13;284606507.0;0.9978840398303004;51;0.0003912873353332464;0.015482428868008982;1218051493;0.010321797207043109
